1230390354,8277,78,73,83,65,66,5,29,17,3,28
18,2024,3,65,11,36,170,5,29,17,3,28
47,2024,3,65,15,93,170,5,29,17,3,28
78,2024,4,65,68,118,32,5,29,17,3,28
109,2024,4,65,16,1,137,5,29,17,3,28
141,2024,3,65,11,37,170,5,29,17,3,28
173,2024,3,65,15,93,170,5,29,17,3,28
209,2024,4,65,68,118,32,5,29,17,3,28
240,2024,4,65,16,1,138,5,29,17,3,28
273,2024,3,65,11,37,170,5,29,17,3,28
304,2024,3,65,15,93,170,5,29,17,3,28
340,2024,4,65,68,118,64,5,29,17,3,28
371,2024,4,65,16,1,134,5,29,17,3,28
403,2024,3,65,11,37,170,5,29,17,3,28
435,2024,3,65,15,93,170,5,29,17,3,28
472,2024,4,65,68,118,64,5,29,17,3,28
503,2024,4,65,16,1,133,5,29,17,3,28
534,2024,3,65,11,37,170,5,29,17,3,28
565,2024,3,65,15,93,170,5,29,17,3,28
596,2024,4,65,68,118,96,5,29,17,3,28
634,2024,4,65,16,1,137,5,29,17,3,29
665,2024,3,65,11,37,170,5,29,17,3,29
697,2024,3,65,15,93,170,5,29,17,3,29
734,2024,4,65,68,118,96,5,29,17,3,29
765,2024,4,65,16,1,131,5,29,17,3,29
796,2024,3,65,11,37,170,5,29,17,3,29
828,2024,3,65,15,93,170,5,29,17,3,29
859,2024,4,65,68,118,128,5,29,17,3,29
897,2024,4,65,16,1,129,5,29,17,3,29
927,2024,3,65,11,37,170,5,29,17,3,29
959,2024,3,65,15,93,170,5,29,17,3,29
990,2024,4,65,68,118,96,5,29,17,3,29
1021,2024,4,65,16,1,132,5,29,17,3,29
1058,2024,3,65,11,37,170,5,29,17,3,29
1090,2024,3,65,15,93,170,5,29,17,3,29
1121,2024,4,65,68,118,128,5,29,17,3,29
1153,2024,4,65,16,1,114,5,29,17,3,29
1189,2024,3,65,11,37,170,5,29,17,3,29
1221,2024,3,65,15,92,170,5,29,17,3,29
1252,2024,4,65,68,118,128,5,29,17,3,29
1284,2024,4,65,16,1,104,5,29,17,3,29
1320,2024,3,65,11,37,170,5,29,17,3,29
1352,2024,3,65,15,92,170,5,29,17,3,29
1383,2024,4,65,68,118,128,5,29,17,3,29
1415,2024,4,65,16,1,100,5,29,17,3,29
1445,2024,3,65,11,36,170,5,29,17,3,29
1483,2024,3,65,15,92,170,5,29,17,3,29
1514,2024,4,65,68,118,128,5,29,17,3,29
1546,2024,4,65,16,1,101,5,29,17,3,29
1576,2024,3,65,11,36,170,5,29,17,3,29
1614,2024,3,65,15,92,170,5,29,17,3,30
1645,2024,4,65,68,118,160,5,29,17,3,30
1677,2024,4,65,16,1,95,5,29,17,3,30
1709,2024,3,65,11,36,170,5,29,17,3,30
1739,2024,3,65,15,92,170,5,29,17,3,30
1778,2024,4,65,68,118,160,5,29,17,3,30
1808,2024,4,65,16,1,75,5,29,17,3,30
1839,2024,3,65,11,35,170,5,29,17,3,30
1870,2024,3,65,15,92,170,5,29,17,3,30
1908,2024,4,65,68,118,192,5,29,17,3,30
1939,2024,4,65,16,1,120,5,29,17,3,30
1971,2024,3,65,11,36,170,5,29,17,3,30
2001,2024,3,65,15,92,170,5,29,17,3,30
2032,2024,4,65,68,118,224,5,29,17,3,30
2070,2024,4,65,16,1,189,5,29,17,3,30
2102,2024,3,65,11,37,170,5,29,17,3,30
2132,2024,3,65,15,92,170,5,29,17,3,30
2164,2024,4,65,68,118,192,5,29,17,3,30
2201,2024,4,65,16,1,191,5,29,17,3,30
2233,2024,3,65,11,39,170,5,29,17,3,30
2264,2024,3,65,15,92,170,5,29,17,3,30
2295,2024,4,65,68,118,192,5,29,17,3,30
2332,2024,4,65,16,1,192,5,29,17,3,30
2364,2024,3,65,11,40,170,5,29,17,3,30
2395,2024,3,65,15,92,170,5,29,17,3,30
2427,2024,4,65,68,118,192,5,29,17,3,30
2457,2024,4,65,16,1,203,5,29,17,3,30
2495,2024,3,65,11,40,170,5,29,17,3,30
2526,2024,3,65,15,92,170,5,29,17,3,30
2557,2024,4,65,68,118,192,5,29,17,3,30
2589,2024,4,65,16,1,200,5,29,17,3,30
2626,2024,3,65,11,41,170,5,29,17,3,31
2657,2024,3,65,15,92,170,5,29,17,3,31
2689,2024,4,65,68,118,192,5,29,17,3,31
2719,2024,4,65,16,1,205,5,29,17,3,31
2751,2024,3,65,11,42,170,5,29,17,3,31
2788,2024,3,65,15,92,170,5,29,17,3,31
2820,2024,4,65,68,118,192,5,29,17,3,31
2850,2024,4,65,16,1,197,5,29,17,3,31
2882,2024,3,65,11,43,170,5,29,17,3,31
2919,2024,3,65,15,92,170,5,29,17,3,31
2951,2024,4,65,68,118,192,5,29,17,3,31
2988,2024,4,65,16,1,197,5,29,17,3,31
3013,2024,3,65,11,43,170,5,29,17,3,31
3051,2024,3,65,15,92,170,5,29,17,3,31
3082,2024,4,65,68,118,224,5,29,17,3,31
3113,2024,4,65,16,1,195,5,29,17,3,31
3144,2024,3,65,11,43,170,5,29,17,3,31
3175,2024,3,65,15,92,170,5,29,17,3,31
3213,2024,4,65,68,118,224,5,29,17,3,31
3244,2024,4,65,16,1,196,5,29,17,3,31
3275,2024,3,65,11,43,170,5,29,17,3,31
